On New Site Now,On Old Site,Industry,Family,Product ID,Product Name,Chemistry,Applications,Benefits,Size ,Color,Cleanup,Recommended Equipment,TDS Data Table,Need 3D Image Now
,Yes,Industrial,ForzaBOND,81-0389,High Performance Neoprene Contact Adhesive,Solvent Based,"• Ideal for bonding furniture and cabinets, 
• Especially good for laminating flexible materials to panels. 
• Good for rapid bonding of light weight parts
• Bonds leather, veneer, fabric, upholstery
• Bonds foam, wood, rubber, plastic laminate, melamine 
• Bonds metal, cork, fiberglass, and many plastics. ","• Excellent coverage
• High temperature resistance
• Excellent green strength
• Fast, high tack
• 80% of final strength achieved immediately, full strength achieved in approximately 24 hours
• Fast drying
• Sprayable
• Ideal for aircraft applications","*  1 Gallon
*  5 Gallon Pail
*  55 Gallon Drum",,,,,
,,Industrial,ForzaBOND,A1000,Insulation Laminating Adhesive,Water Based,"• Ideal for faced insulation manufacturing 
• Well suited for quick tack laminating","• Fast drying
• Excellent fiber-tearing bonds
• Excellent coverage - 600 sq ft per gallon
• UL 723 Certification","*  5 Gallon Pail
*  55 Gallon Drum
*  Tote",,,,,
,,Industrial,ForzaBOND,A450,Quick-Dry Filter Bonding,NA,Formulated to bond tack coating air filters. This will also bond applications such as case and carton sealing and corewinding,"• Very fast drying
• Machines well
• Creates excellent fiber-tearing bonds","*  5 Gallon Pail
*  55 Gallon Drum
*  Tote",,,,,
,,Industrial,ForzaBOND,A465,Filter Coating Adhesive,NA,"Specifically formulated for: 
* Bonding tack coating air filters 
* Adhering or tack coating fabrics 
* Adhering or tack coating fibrous materials.","• High temperature resistance.
• No ODS (Ozone Depleting Substances)
• No chlorinated solvents
• Dried adhesive is permanently tacky
• Unlimited open time
• Non-hazardous
• Coated filters peel apart easily","*  5 Gallon Pail
*  55 Gallon Drum
*  Tote",,,,,
,,Industrial,ForzaBOND,A729,Filter Bonding Adhesive,NA,"Specifically formulated for 
* Glueing lap bonding corrugated
* Sealing cartons ","• Good machinability
• Bonds some coated stock
• No ODS (Ozone Depleting Substances)
• No chlorinated solvents
• FDA approved for food packaging 21 CFR 175. 105","*  5 Gallon Pail
*  55 Gallon Drum
*  Tote",,,,,
,,Industrial,ForzaBOND,C110,High-Temp Adhesive,NA,"High Temperature Resistent General Adhesive: 
* Well suited for general laminating to many substrates
* Well suited for general bonding to many substrates","• Post formable
• Excellent coverage
• High - temperature resistance
• 80% of final strength achieved upon bonding
• Full strength achieved in 24 hours
• Fast drying with long open time (30-45 minutes)
• No ODS (Ozone Depleting Substances)
• No chlorinated solvents
• Sprayable","*  1 Gallon Can
*  5 Gallon Pail
*  55 Gallon Drum
*  Quart",,,,,
Yes,Yes,Industrial,ForzaBOND,C130,High Heat Neoprene Adhesive,Solvent Based,"High Temperature Resistent Neoprene Contact Adhesive: 
* Well suited for general laminating to many substrates
* Well suited for general bonding to many substrates",Already on New Site,"*  1 Gallon Pail
*  5 Gallon Pail
*  52 Gallon Drum",,,,,
,Yes,Industrial,ForzaBOND,C150,CA-Compliant Contact Adhesive,???,"* Bonds polystyrene foam to itself and many other substrates
*  Used in refrigerator and freezer applications to bond foam on interior, non-load bearing sandwich panels
*  Used to bond precut foam to cardboard in fabrication of insulated shipping cartons
*  Used for preformed pipe insulation and the bonding of foam on prefabricated pump houses, animal shelters and farm waterers","*  Quick tack
*  Prevents attack of polystyrene foam, yet still creates a strong contact-like bond to many substrates
*  Excellent water and moisture resistance","*  1 Gallon Pail
*  5 Gallon Pail
*  55 Gallon Drum",,,,,
Yes,Yes,Industrial,ForzaBOND,C331,Non-Flammable Sprayable Contact Adhesive,Solvent Based,"* Bonds veneers, fabrics, upholstery, and foam
* Bonds headliners, cork, fiberglass, and many plastics
* Bonds applications where smoothness is required (glossy laminate & fabrics) 
* Laminates most flexible materials in nearly any application",Already on New Site,"*  1 Gallon
*  5 Gallon Pail
*  52 Gallon Drum",,,,,
,,Industrial,ForzaBOND,C805,Vinyl Bonding,NA,"* Bonds vinyl to vinyl, foam, and leather 
* Bonds vinyl to metal, rubber, and other substrates","*  VOC free
*  HAPs free
*  Extremely fast drying
*  Strong bonding
*  Vinyl bonding adhesive
*  Plasticizer resistant","*  5 Gallon Pail
*  55 Gallon Drum
*  Tote",,,,,
